"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"SFTBY, Long, 2025-11-28 (Price: 53.81)",2025-12-05 (Price: 62.12),"15.44%, 5 days (business days)","96.55%, Past 5 years, 29","Daily, was CONFIRMED on 2025-11-28",Already confirmed,"2025-12-09 (Price: 60.45), 12.34% above",11 days (calendar days),Upmove Bounce Back,61.8% (Price: 46.6535),29.57% above,"2025-04-07 (Price: 19.86), 2025-10-29 (Price: 90.0)",163.68%/8.12%/48.76%,"1.65%, 38.56%",11.3 months (calendar days)/13 days (calendar days)/5.4 months (calendar days),2027-04-04/2025-12-16/2026-07-19,29.01%,21.88%,7.12%,0.45,0.69,55.5319/80.0478/95.89/No Horizontal Resistance/95.4524/115.3755/No EMA 200 Target,50.04/16.82/48.3837/40.3224/No F-Track Level/No F-Track Level/44.02,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
"CNR.TO, Long, 2025-11-26 (Price: 132.03)",2025-12-09 (Price: 135.38) (Today),"2.54%, 13 days (calendar days)","95.65%, Past 5 years, 23","Daily, was CONFIRMED on 2025-11-26",Already confirmed,"2025-12-09 (Price: 135.38), 2.54% above",13 days (calendar days),Upmove Bounce Back,61.8% (Price: 131.225),3.17% above,"2025-09-11 (Price: 126.11), 2025-10-31 (Price: 139.5)",13.38%/0.33%/9.22%,"1.37%, 16.7%",1.4 year (calendar days)/14 days (calendar days)/7.2 months (calendar days),2027-11-08/2025-12-16/2026-10-03,8.8%,0.05%,8.74%,0.53,-0.12,131.832/144.2032/140.06/167.5729/218.156/349.4971/136.66,128.08/127.762/86.815/55.8095/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
"UBER, Long, 2025-11-25 (Price: 83.69)",2025-12-08 (Price: 92.57),"10.61%, 13 days (calendar days)","100.0%, Past 5 years, 47","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-09 (Price: 89.07), 6.43% above",14 days (calendar days),Upmove Bounce Back,23.66% (Price: 81.5091),9.28% above,"2023-04-27 (Price: 29.22), 2025-07-09 (Price: 97.715)",103.69%/0.66%/22.72%,"-0.0%, 56.64%",2.7 years (calendar days)/21 days (calendar days)/5.3 months (calendar days),2029-09-19/2025-12-25/2026-07-11,16.11%,18.26%,-2.15%,0.44,0.6,84.1754/102.7044/124.79/No Horizontal Resistance/99.1711/103.8185/87.38,83.36/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
"LYFT, Long, 2025-11-25 (Price: 19.63)",2025-12-02 (Price: 22.24),"13.3%, 5 days (business days)","96.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-09 (Price: 21.78), 10.95% above",14 days (calendar days),Upmove Bounce Back,38.2% (Price: 18.7824),15.96% above,"2023-05-24 (Price: 7.85), 2025-11-12 (Price: 25.54)",52.96%/0.97%/21.59%,"5.88%, 53.48%",1.1 year (calendar days)/27 days (calendar days)/6.3 months (calendar days),2027-06-18/2026-01-03/2026-08-27,19.21%,-6.72%,25.93%,0.41,0.2,19.5181/23.8681/30.24/57.19/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,19.42/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/16.39,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
"TSLA, Long, 2025-11-18 (Price: 401.25)",2025-12-03 (Price: 446.74),"11.34%, 15 days (calendar days)","100.0%, Past 5 years, 34","Daily, was CONFIRMED on 2025-11-18",Already confirmed,"2025-12-09 (Price: 445.17), 10.95% above",21 days (calendar days),Upmove Bounce Back,38.2% (Price: 374.8188),18.77% above,"2025-04-07 (Price: 214.25), 2025-11-03 (Price: 474.07)",69.86%/7.58%/26.58%,"-0.0%, 65.02%",1.6 year (calendar days)/25 days (calendar days)/6.6 months (calendar days),2028-02-21/2025-12-24/2026-09-02,21.17%,25.99%,-4.83%,0.4,0.79,411.6424/507.9023/557.14/408.5817/490.132/554.3681/No EMA 200 Target,320.11/181.0784/330.0827/262.8246/No F-Track Level/No F-Track Level/343.67,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
"WMT, Long, 2025-11-04 (Price: 102.27)",2025-12-03 (Price: 114.41),"11.87%, 29 days (calendar days)","90.62%, Past 5 years, 32","Daily, was CONFIRMED on 2025-11-04",Already confirmed,"2025-12-09 (Price: 115.06), 12.51% above",1 day (business days),Upmove Bounce Back,23.66% (Price: 102.5364),12.21% above,"2025-04-07 (Price: 79.81), 2025-10-16 (Price: 109.58)",14.63%/0.49%/9.29%,"4.76%, 26.01%",1.3 year (calendar days)/1.1 month (calendar days)/4.7 months (calendar days),2027-08-22/2025-12-21/2026-05-28,10.62%,16.05%,-5.43%,0.64,0.7,104.0086/111.7709/120.13/105.01/108.7906/137.8139/No EMA 200 Target,101.18/42.3916/98.8222/85.5556/No F-Track Level/No F-Track Level/98.43,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
"ASHR, Long, 2025-06-30 (Price: 27.54)",2025-12-09 (Price: 33.05) (Today),"20.01%, 5 days (business days)","100.0%, Past 12 years, 8","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-09 (Price: 33.05), 20.01% above",5 days (business days),Upmove Bounce Back,88.6% (Price: 23.1742),42.62% above,"2024-02-29 (Price: 21.56), 2024-10-31 (Price: 35.72)",6.41%/6.41%/6.41%,"-0.0%, 12.65%",5.8 months (calendar days)/5.8 months (calendar days)/5.8 months (calendar days),2026-03-07/2026-03-07/2026-03-07,9.59%,2.03%,7.56%,0.36,0.04,28.6196/29.3053/36.04/39.9467/60.2967/80.3432/29.21,25.82/23.36/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
"HYG, Long, 2025-06-30 (Price: 80.65)",2025-12-09 (Price: 80.46) (Today),"-0.24%, 5 days (business days)","90.91%, Past 18 years, 11","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-09 (Price: 80.46), 0.24% below",5 days (business days),Upmove Bounce Back,38.2% (Price: 76.5615),5.09% above,"2022-10-31 (Price: 70.4), 2024-09-30 (Price: 80.37)",2.15%/2.15%/2.15%,"3.95%, 5.88%",1.2 year (calendar days)/1.2 year (calendar days)/1.2 year (calendar days),2027-03-20/2027-03-20/2027-03-20,-0.69%,-1.4%,0.72%,-0.15,-0.53,80.2064/82.384/86.63/86.99/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,78.6/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/79.87,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
"NA.TO, Long, 2025-06-30 (Price: 140.52)",2025-11-30 (Price: 168.95),"20.23%, 5 days (business days)","94.12%, Past 42 years, 34","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-09 (Price: 172.78), 22.96% above",5 days (business days),Upmove Bounce Back,23.66% (Price: 108.7595),58.86% above,"1995-01-31 (Price: 4.25), 2024-12-31 (Price: 141.15)",133.9%/2.69%/39.66%,"11.85%, 52.46%",6.2 years (calendar days)/4.3 months (calendar days)/1.9 year (calendar days),2034-04-13/2026-01-02/2028-03-19,5.1%,11.99%,-6.9%,0.45,0.51,146.745/196.2502/222.66/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,118.77/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/139.63,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
"RY.TO, Long, 2025-06-30 (Price: 179.47)",2025-11-30 (Price: 216.14),"20.43%, 5 days (business days)","97.06%, Past 48 years, 34","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-09 (Price: 226.03), 25.94% above",5 days (business days),Upmove Bounce Back,38.2% (Price: 152.7435),47.98% above,"2023-10-31 (Price: 107.92), 2024-12-31 (Price: 180.45)",942.33%/3.95%/96.76%,"8.99%, 47.82%",18.4 years (calendar days)/6.5 months (calendar days)/2.7 years (calendar days),2051-09-13/2026-04-08/2029-04-21,5.39%,11.4%,-6.01%,0.19,0.5,185.4822/353.1252/222.99/No Horizontal Resistance/221.431/339.4883/184.91,162.1/108.18/148.4673/103.3737/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
"^BVSP, Long, 2025-03-31 (Price: 130260.0)",2025-11-30 (Price: 159072.0),"22.12%, 8 days (calendar days)","93.33%, Past 57 years, 30","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2025-12-09 (Price: 157981.125), 21.28% above",8 days (calendar days),Upmove Bounce Back,50% (Price: 116368.0),35.76% above,"2022-07-31 (Price: 95267.0), 2024-08-31 (Price: 137469.0)",195.55%/4.94%/55.92%,"17.81%, 51.61%",9.2 years (calendar days)/3.6 months (calendar days)/3.0 years (calendar days),2038-06-08/2025-09-04/2029-07-26,3.98%,30.03%,-26.05%,0.44,0.88,141319.074/203101.392/155581.2/134350.3333/173653.968/192289.6/139309.14,120283.0/95217.0/121313.6/110617.73/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
"^DJI, Long, 2025-02-02 (Price: 44544.6602)",2025-12-07 (Price: 47954.9883),"7.66%, 10 days (calendar days)","100.0%, Past 20 years, 33","Weekly, was CONFIRMED on 2025-02-02",Already confirmed,"2025-12-09 (Price: 47560.2891), 6.77% above",10 days (calendar days),Upmove Bounce Back,23.66% (Price: 42057.8236),13.08% above,"2023-10-29 (Price: 32327.1992), 2024-12-08 (Price: 45073.6289)",47.66%/0.85%/23.42%,"-0.0%, 50.73%",4.5 years (calendar days)/6.6 months (calendar days)/1.9 year (calendar days),2031-06-21/2025-11-17/2027-10-10,4.85%,7.58%,-2.73%,0.53,0.28,45310.8284/54977.0196/52192.52/No Horizontal Resistance/54129.8938/83218.843/No EMA 200 Target,41938.45/29171.1927/36151.8794/25040.9446/No F-Track Level/No F-Track Level/44070.96,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
"RHHBY, Long, 2024-12-31 (Price: 34.88)",2025-12-09 (Price: 48.67) (Today),"39.54%, 11 days (calendar days)","100.0%, Past 24 years, 9","Quarterly, was CONFIRMED on 2024-12-31",Already confirmed,"2025-12-09 (Price: 48.67), 39.54% above",11 days (calendar days),Upmove Bounce Back,88.6% (Price: 29.4418),65.31% above,"2018-06-30 (Price: 26.3), 2022-06-30 (Price: 53.86)",15.79%/12.77%/14.28%,"-0.0%, 30.62%",4.7 years (calendar days)/4.2 years (calendar days)/4.4 years (calendar days),2031-09-21/2030-12-12/2031-05-02,2.03%,6.19%,-4.16%,0.46,0.19,34.1824/39.8609/51.42/52.46/58.6089/65.2057/41.62,31.92/34.87/31.0544/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
"IWM, Long, 2023-06-30 (Price: 187.27)",2025-12-09 (Price: 251.39) (Today),"34.24%, 2 days (business days)","100.0%, Past 25 years, 8","Quarterly, was CONFIRMED on 2023-06-30",Already confirmed,"2025-12-09 (Price: 251.39), 34.24% above",2 days (business days),Upmove Bounce Back,38.2% (Price: 164.1636),53.13% above,"2009-03-31 (Price: 34.26), 2021-12-31 (Price: 244.46)",56.32%/25.19%/40.76%,"-0.0%, 20.56%",2.0 year (calendar days)/2.0 year (calendar days)/2.0 year (calendar days),2026-05-02/2026-04-30/2026-04-30,11.21%,6.21%,5.0%,0.5,0.2,180.9028/263.6013/313.39/232.67/348.4025/539.5308/221.37,164.92/144.954/157.2742/112.1542/No F-Track Level/No F-Track Level/No EMA 200 Support,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
"NFLX, Short, 2025-12-09 (Price: 96.71)",No Exit Yet,"-0.0%, 0 days (business days)","100.0%, Past 23 years, 7","Quarterly, is CONFIRMED on 2025-12-09",No Cancellation Possible,"2025-12-09 (Price: 96.71), 0.0% below",0 days (business days),Upmove Break Below,23.66% (Price: 106.2331),8.96% below,"2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",57.17%/10.52%/34.09%,"-0.0%, 57.17%",2.2 months (calendar days)/2.2 months (calendar days)/2.2 months (calendar days),2026-03-14/2026-03-13/2026-03-13,106.75%,5.4%,101.35%,1.28,0.89,185.954/63.7416/26.0/34.8663/77.3488/70.5306/No EMA 200 Target,No support/34.8663/77.3488/70.5306/89.0986/75.193/No support,75.0%/4/6 days (business days) (Across ALL Assets),57.14%/14/4 days (business days) (Across ALL Assets)
"SFTBY, Short, 2025-12-09 (Price: 60.45)",No Exit Yet,"-0.0%, 0 days (business days)","100.0%, Past 13 years, 4","Quarterly, was CONFIRMED on None",No Cancellation Possible,"2025-12-09 (Price: 60.45), 0.0% below",0 days (business days),Upmove Break Below,50.0% (Price: 53.39),13.22% above,"2022-06-30 (Price: 16.78), 2025-12-09 (Price: 90.0)",22.05%/16.72%/18.57%,"0%, 22.05%",6.5 months (calendar days)/2.2 months (calendar days)/3.3 months (calendar days),2026-09-17/2026-03-13/2026-04-29,14.54%,5.4%,9.14%,7.65,0.48,65.153/49.2244/16.52/16.82/58.4635/48.0625/44.02,No support/16.82/58.4635/48.0625/53.39/44.75/No EMA 200 Support,75.0%/4/6 days (business days) (Across ALL Assets),57.14%/14/4 days (business days) (Across ALL Assets)
"KWEB, Short, 2025-12-09 (Price: 37.06)",No Exit Yet,"-0.0%, 0 days (business days)","88.89%, Past 12 years, 9","Monthly, was CONFIRMED on 2025-12-02",No Cancellation Possible,"2025-12-09 (Price: 37.06), 0.0% below",0 days (business days),Upmove Break Below,23.66% (Price: 38.4709),3.67% below,"2024-01-31 (Price: 22.68), 2025-10-31 (Price: 43.365)",10.4%/3.11%/6.98%,"19.33%, 16.82%",2.2 months (calendar days)/21 days (calendar days)/1.2 month (calendar days),2026-03-14/2026-01-08/2026-01-30,21.98%,5.3%,16.68%,0.3,0.14,34.0656/34.4732/24.65/24.5062/No F-Stack Support/No F-Stack Support/36.38,No support/24.5062/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,85.71%/7/27 days (calendar days) (Across ALL Assets),36.84%/19/3 days (business days) (Across ALL Assets)
"NFLX, Short, 2025-12-09 (Price: 96.71)",No Exit Yet,"-0.0%, 0 days (business days)","87.5%, Past 23 years, 16","Monthly, was CONFIRMED on 2025-12-05",No Cancellation Possible,"2025-12-09 (Price: 96.71), 0.0% below",0 days (business days),Upmove Break Below,23.66% (Price: 102.5619),5.71% below,"2012-08-31 (Price: 0.7544), 2025-06-30 (Price: 134.115)",51.8%/3.55%/19.68%,"21.42%, 51.8%",2.1 months (calendar days)/20 days (calendar days)/27 days (calendar days),2026-03-11/2026-01-06/2026-01-17,107.65%,5.4%,102.25%,0.58,0.92,178.0818/77.6775/16.69/34.8663/77.3488/70.5306/No EMA 200 Target,No support/34.8663/77.3488/70.5306/89.0986/75.193/No support,85.71%/7/27 days (calendar days) (Across ALL Assets),36.84%/19/3 days (business days) (Across ALL Assets)
"NZDUSD=X, Short, 2025-12-09 (Price: 0.5781)",No Exit Yet,"-0.0%, 0 days (business days)","93.33%, Past 21 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price > 0.6121 prior to 2025-12-31,"2025-12-09 (Price: 0.5781), 0.0% below",0 days (business days),Upmove Break Below,50% (Price: 0.6073),4.81% below,"2023-12-31 (Price: 0.6085), 2025-04-30 (Price: 0.603)",8.02%/0.77%/4.13%,"4.43%, 8.71%",5.1 months (calendar days)/21 days (calendar days)/2.0 months (calendar days),2026-07-18/2026-01-08/2026-03-07,11.51%,5.4%,6.11%,0.41,-0.35,0.5715/0.5542/0.57/0.5509/No F-Stack Support/No F-Stack Support/No EMA 200 Target,No support/0.5509/No F-Stack Support/No F-Stack Support/No support/No support/No support,85.71%/7/27 days (calendar days) (Across ALL Assets),36.84%/19/3 days (business days) (Across ALL Assets)
"GBPUSD=X, Short, 2025-12-09 (Price: 1.3303)",No Exit Yet,"-0.0%, 0 days (business days)","88.89%, Past 55 years, 18","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price > 1.3789 prior to 2025-12-31,"2025-12-09 (Price: 1.3303), 0.0% below",0 days (business days),Upmove Break Below,88.6% (Price: 1.3281),0.17% above,"2024-09-30 (Price: 1.3003), 2025-01-31 (Price: 1.2576)",8.35%/0.41%/4.04%,"6.97%, 8.59%",2.9 months (calendar days)/20 days (calendar days)/1.4 month (calendar days),2026-04-14/2026-01-06/2026-02-09,7.54%,5.4%,2.14%,0.15,-0.64,1.3005/1.2766/1.3/1.1912/No F-Stack Support/No F-Stack Support/1.33,No support/1.1912/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,85.71%/7/27 days (calendar days) (Across ALL Assets),36.84%/19/3 days (business days) (Across ALL Assets)
"C6L.SI, Short, 2025-12-09 (Price: 6.28)",No Exit Yet,"-0.0%, 0 days (business days)","86.21%, Past 40 years, 29","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price > 7.63 prior to 2025-12-31,"2025-12-09 (Price: 6.28), 0.0% below",0 days (business days),Upmove Break Below,78.6% (Price: 7.5813),17.16% below,"2023-06-30 (Price: 6.44), 2024-08-31 (Price: 6.4)",19.3%/3.18%/7.25%,"25.0%, 22.14%",3.6 months (calendar days)/21 days (calendar days)/1.4 month (calendar days),2026-05-15/2026-01-08/2026-02-09,13.23%,5.4%,7.83%,0.2,-0.19,6.2009/5.8247/6.26/4.7975/No F-Stack Support/No F-Stack Support/No EMA 200 Target,No support/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/No support,85.71%/7/27 days (calendar days) (Across ALL Assets),36.84%/19/3 days (business days) (Across ALL Assets)
"META, Short, 2025-11-30 (Price: 647.95)",No Exit Yet,"-1.39%, 9 days (calendar days)","100.0%, Past 13 years, 5","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-09 (Price: 656.96), 1.39% above",9 days (calendar days),Upmove Break Below,23.66% (Price: 628.6993),4.5% above,"2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",32.63%/3.19%/11.97%,"-0.0%, 32.63%",2.2 months (calendar days)/20 days (calendar days)/1.2 month (calendar days),2026-03-04/2025-12-28/2026-01-22,94.49%,5.3%,89.19%,0.68,0.8,579.1377/570.3904/223.05/280.19/556.264/2054.9119/No EMA 200 Target,No support/280.19/556.264/No support/No F-Track Level/No F-Track Level/No support,85.71%/7/27 days (calendar days) (Across ALL Assets),36.84%/19/3 days (business days) (Across ALL Assets)
"KWEB, Short, 2025-11-30 (Price: 37.57)",No Exit Yet,"1.36%, 9 days (calendar days)","88.89%, Past 12 years, 9","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-09 (Price: 37.06), 1.36% below",9 days (calendar days),Upmove Break Below,23.66% (Price: 37.1791),0.32% below,"2022-10-31 (Price: 17.22), 2025-10-31 (Price: 43.365)",10.4%/3.11%/6.98%,"19.33%, 16.82%",2.2 months (calendar days)/21 days (calendar days)/1.2 month (calendar days),2026-03-05/2025-12-30/2026-01-21,21.98%,5.3%,16.68%,0.3,0.14,34.5343/34.9476/21.88/24.5062/No F-Stack Support/No F-Stack Support/36.38,No support/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,85.71%/7/27 days (calendar days) (Across ALL Assets),36.84%/19/3 days (business days) (Across ALL Assets)
"NFLX, Short, 2025-11-30 (Price: 107.58)",2025-12-09 (Price: 96.71) (Today),"10.1%, 9 days (calendar days)","87.5%, Past 23 years, 16","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2025-12-09 (Price: 96.71), 10.1% below",9 days (calendar days),Upmove Break Below,23.66% (Price: 106.2331),8.96% below,"2022-05-31 (Price: 16.271), 2025-06-30 (Price: 134.115)",51.8%/3.55%/19.68%,"21.42%, 51.8%",2.1 months (calendar days)/20 days (calendar days)/27 days (calendar days),2026-03-02/2025-12-28/2026-01-08,107.65%,5.4%,102.25%,0.58,0.92,198.0978/86.4083/36.87/34.8663/100.8852/86.4764/No EMA 200 Target,No support/34.8663/100.8852/86.4764/No F-Track Level/No F-Track Level/No support,85.71%/7/27 days (calendar days) (Across ALL Assets),36.84%/19/3 days (business days) (Across ALL Assets)
"SPOT, Short, 2025-11-23 (Price: 583.61)",2025-12-07 (Price: 564.93),"3.2%, 14 days (calendar days)","87.5%, Past 7 years, 16","Weekly, was CONFIRMED on 2025-11-23",Already confirmed,"2025-12-09 (Price: 589.67), 1.04% above",16 days (calendar days),Upmove Break Below,23.66% (Price: 615.6618),4.22% below,"2022-11-06 (Price: 69.285), 2025-06-29 (Price: 785.0)",11.53%/3.99%/7.19%,"16.98%, 11.53%",1.1 month (calendar days)/4 days (business days)/9 days (calendar days),2026-01-11/2025-11-28/2025-12-06,38.54%,5.2%,33.34%,0.12,0.66,576.7234/541.6484/154.18/118.6/552.6195/456.7863/No EMA 200 Target,No support/118.6/552.6195/456.7863/No F-Track Level/No F-Track Level/No support,100.0%/1/14 days (calendar days) (Across ALL Assets),43.75%/16/1 day (business days) (Across ALL Assets)
"ETH-USD, Short, 2025-10-31 (Price: 3847.0803)",2025-11-30 (Price: 2992.1125),"22.22%, 1 day (business days)","90.0%, Past 10 years, 10","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-12-09 (Price: 3328.3315), 13.48% below",1 day (business days),Upmove Break Below,23.66% (Price: 3801.2773),12.44% below,"2018-12-31 (Price: 82.8299), 2025-08-31 (Price: 4953.7329)",32.85%/5.87%/20.42%,"38.7%, 32.85%",1.4 month (calendar days)/21 days (calendar days)/25 days (calendar days),2026-01-01/2025-11-30/2025-12-06,120.83%,5.2%,115.63%,0.39,0.97,3818.9966/3061.5065/924.54/1370.4997/3454.2267/2637.9184/3547.06,No support/1370.4997/3454.2267/2637.9184/No F-Track Level/No F-Track Level/No EMA 200 Support,85.71%/7/27 days (calendar days) (Across ALL Assets),36.84%/19/3 days (business days) (Across ALL Assets)
"WPM, Short, 2025-10-31 (Price: 96.52)",2025-11-30 (Price: 110.05),"-14.02%, 1 day (business days)","100.0%, Past 20 years, 16","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2025-12-09 (Price: 109.27), 13.21% above",1 day (business days),Upmove Break Below,23.66% (Price: 96.3808),13.37% above,"2023-10-31 (Price: 38.37), 2025-10-31 (Price: 114.36)",24.39%/3.3%/9.68%,"0.0%, 24.39%",2.2 months (calendar days)/20 days (calendar days)/1.1 month (calendar days),2026-02-02/2025-11-28/2025-12-16,70.35%,5.4%,64.95%,0.87,0.57,100.014/87.1769/50.93/38.3375/85.7049/76.3674/91.86,No support/38.3375/85.7049/76.3674/No F-Track Level/No F-Track Level/No EMA 200 Support,85.71%/7/27 days (calendar days) (Across ALL Assets),36.84%/19/3 days (business days) (Across ALL Assets)
